date,open,high,low,close,adjClose,volume
Thu Aug 13 2020,6729.950195,6772,6655,6731.649902,6521.697754,1087096
Fri Aug 14 2020,6740,6745.149902,6552.049805,6588.200195,6382.722656,905793
Mon Aug 17 2020,6660,6789.950195,6588.200195,6768.399902,6557.301758,1028536
Tue Aug 18 2020,6768.399902,6924.899902,6760.899902,6893.100098,6678.113281,1322527
Wed Aug 19 2020,6924,7014.700195,6885.049805,6990.299805,6772.280762,1326450
Thu Aug 20 2020,6891.100098,6999,6880.049805,6974.700195,6757.167969,958157
Fri Aug 21 2020,7048,7065,6951,6973,6755.520508,971836
Mon Aug 24 2020,6985,7100,6955,7082.5,6861.605469,961177
Tue Aug 25 2020,7100,7175.700195,7075.649902,7109.950195,6888.200195,1047620
Wed Aug 26 2020,7110,7158,6972,7008.649902,6790.058594,992395
Thu Aug 27 2020,7043,7127.700195,6960.799805,7098,6876.62207,1158891
Fri Aug 28 2020,7125,7156,7028.450195,7104.100098,6882.531738,1019984
Mon Aug 31 2020,7138,7160,6790.450195,6839.950195,6626.620605,1580774
Tue Sep 01 2020,6860.450195,7018.700195,6802,6905.649902,6690.270996,1117127
Wed Sep 02 2020,6905.5,6980,6852.399902,6920.75,6704.900879,776392
Thu Sep 03 2020,6925,7116.899902,6920.75,7072.600098,6852.01416,947751
Fri Sep 04 2020,6985,7324,6965.049805,7190.100098,6965.849609,2185292
Mon Sep 07 2020,7225,7300,7129.25,7209.149902,6984.305664,1348919
Tue Sep 08 2020,7220,7278,7137.649902,7224,6998.691895,1145062
Wed Sep 09 2020,7200,7256.350098,7121.200195,7215.25,6990.215332,1273303
Thu Sep 10 2020,7264,7299.399902,7168,7231.649902,7006.104004,978701
Fri Sep 11 2020,7279.950195,7349.899902,7175,7193.600098,6969.240234,1383019
Mon Sep 14 2020,7219,7239.600098,7085,7128.850098,6906.510254,1003491
Tue Sep 15 2020,7164,7175,7005,7052.799805,6832.831543,894418
Wed Sep 16 2020,7074,7169,7041,7057.950195,6837.821777,920570
Thu Sep 17 2020,7049.5,7112.899902,6941,7085.850098,6864.851074,1133411
Fri Sep 18 2020,7148,7149,6931.600098,6964.75,6747.52832,1143550
Mon Sep 21 2020,6964.75,6986.899902,6590,6626.950195,6420.263672,1290480
Tue Sep 22 2020,6675,6685.950195,6312.350098,6440.549805,6239.676758,2665724
Wed Sep 23 2020,6462,6549.950195,6380,6501.299805,6298.532227,1456226
Thu Sep 24 2020,6435,6486.799805,6270.149902,6297.700195,6101.283203,1237674
Fri Sep 25 2020,6395,6518.549805,6331,6497.700195,6295.044922,1316468
Mon Sep 28 2020,6579,6720,6542.299805,6703,6493.941406,1099583
Tue Sep 29 2020,6749,6813.299805,6671,6742.75,6532.45166,1199391
Wed Sep 30 2020,6710,6779.950195,6671,6743.450195,6533.130371,812841
Thu Oct 01 2020,6838.200195,6909,6775.399902,6796.299805,6584.331543,1255993
Mon Oct 05 2020,6865,6877.600098,6745,6818.850098,6606.178223,833476
Tue Oct 06 2020,6858,6939.799805,6830,6892.399902,6677.43457,756192
Wed Oct 07 2020,6920,7070,6865.549805,7046.899902,6827.115723,1101957
Thu Oct 08 2020,7090,7140,7021,7079.850098,6859.038574,851205
Fri Oct 09 2020,7060,7159,7001,7062.399902,6842.132813,839682
Mon Oct 12 2020,7110,7155,7005,7136.649902,6914.066406,799712
Tue Oct 13 2020,7135,7185,7022,7032.899902,6813.552246,819414
Wed Oct 14 2020,7040,7075,6927.450195,7002.350098,6783.955566,779630
Thu Oct 15 2020,7029,7049.899902,6857.700195,6892.600098,6677.62793,681316
Fri Oct 16 2020,6895,6980,6863,6894.899902,6679.856934,657914
Mon Oct 19 2020,6975,6980,6825,6851.950195,6638.246094,548457
Tue Oct 20 2020,6817,6949,6810,6844.600098,6631.125,659864
Wed Oct 21 2020,6904,6947.600098,6764.649902,6861.850098,6647.837402,911967
Thu Oct 22 2020,6828,6860,6775.200195,6811.549805,6599.105469,584523
Fri Oct 23 2020,6858,7124.700195,6832,7103.25,6881.708496,1758998
Mon Oct 26 2020,7100,7161.299805,6935.049805,7054.799805,6834.77002,1559351
Tue Oct 27 2020,7067,7209.75,7053,7158.399902,6935.138184,1461819
Wed Oct 28 2020,7194.950195,7332,7110,7186.049805,6961.925781,1645177
Thu Oct 29 2020,7114,7199,6986.700195,7117.700195,6895.708008,1434852
Fri Oct 30 2020,7079.049805,7110,6881,6965.149902,6747.915527,1360249
Mon Nov 02 2020,7044.899902,7053.399902,6850,6868.350098,6654.134766,1059351
Tue Nov 03 2020,6940,6963.25,6852.450195,6913.350098,6697.730957,926491
Wed Nov 04 2020,6913.350098,7054,6909.5,6954.049805,6737.161621,901404
Thu Nov 05 2020,7020,7104.899902,6979.649902,7092.799805,6871.584473,843221
Fri Nov 06 2020,7092,7135,6890,6907.600098,6692.160645,1378439
Mon Nov 09 2020,6989.950195,7032.600098,6815,6872.149902,6657.815918,1479540
Tue Nov 10 2020,6973.100098,6974,6761.450195,6793.450195,6581.570801,1695413
Wed Nov 11 2020,6859,6904,6753.100098,6857.350098,6643.478027,1481918
Thu Nov 12 2020,6857,6930,6792,6836.850098,6623.617188,1418041
Fri Nov 13 2020,6880,6880,6786,6809.25,6596.877441,970632
Sat Nov 14 2020,6850,6859.899902,6835,6852.25,6638.537109,128193
Tue Nov 17 2020,6865,6996.899902,6863,6981.450195,6763.707031,1243068
Wed Nov 18 2020,6979.950195,7070,6948,7054.299805,6834.284668,1400300
Thu Nov 19 2020,7031,7130,6915.200195,6963.299805,6746.122559,1305695
Fri Nov 20 2020,6959.549805,7020,6904,6965.850098,6748.59375,923474
Mon Nov 23 2020,7040,7044,6932.600098,6987.75,6769.811035,735755
Tue Nov 24 2020,7050,7209,7050,7158.399902,6935.138184,1910670
