date,open,high,low,close,adjClose,volume
Thu Mar 05 2020,2085.699951,2147.75,2084.050049,2125.050049,1945.828369,3937056
Fri Mar 06 2020,2098,2123.649902,2071.600098,2116.449951,1937.953491,2595027
Mon Mar 09 2020,2075,2079.899902,1935,1972.349976,1806.006348,4940975
Wed Mar 11 2020,1933,1987.300049,1920,1953.699951,1788.929443,6796449
Thu Mar 12 2020,1904,1908.400024,1758.349976,1769.849976,1620.584839,8728786
Fri Mar 13 2020,1687.900024,1820,1506.050049,1806.300049,1653.960815,8029720
Mon Mar 16 2020,1755,1842.25,1675.849976,1696.400024,1553.32959,7844271
Tue Mar 17 2020,1730,1731,1623.150024,1658,1518.168091,5713248
Wed Mar 18 2020,1676.800049,1713.550049,1627.75,1654.400024,1514.871826,7258778
Thu Mar 19 2020,1559.699951,1685.449951,1546.75,1636.349976,1509.291382,5135111
Fri Mar 20 2020,1630,1869,1627,1797.449951,1657.882568,8547498
Mon Mar 23 2020,1620,1750,1617.75,1669.699951,1540.05188,7003490
Tue Mar 24 2020,1653.050049,1770,1632.849976,1703.150024,1570.904419,6350865
Wed Mar 25 2020,1700,1810,1680,1750.300049,1614.393799,2765520
Thu Mar 26 2020,1831.599976,1832.050049,1722.550049,1790.949951,1651.887329,4556067
Fri Mar 27 2020,1820,1850,1750.400024,1824.5,1682.832153,4331250
Mon Mar 30 2020,1766,1905,1763.550049,1778.5,1640.403931,8513547
Tue Mar 31 2020,1837.400024,1855,1780,1826.099976,1684.307861,3927593
Wed Apr 01 2020,1825.900024,1834.75,1702,1708.75,1576.06958,4941878
Fri Apr 03 2020,1740,1740,1650,1654.199951,1525.755493,5735369
Tue Apr 07 2020,1710,1785.849976,1705,1775.199951,1637.359985,5427577
Wed Apr 08 2020,1760,1806,1701,1705.449951,1573.026123,6285615
Thu Apr 09 2020,1750.449951,1778.800049,1731.199951,1766.150024,1629.013062,5307397
Mon Apr 13 2020,1761,1787,1746,1759.25,1622.648315,2990438
Wed Apr 15 2020,1785,1812,1727.800049,1735.150024,1600.420166,4761399
Thu Apr 16 2020,1709.949951,1764.900024,1675.050049,1716.050049,1582.803101,6245533
Fri Apr 17 2020,1800,1851.949951,1753,1806.199951,1665.953125,9895823
Mon Apr 20 2020,1830,1830,1802.5,1818.650024,1677.436401,3244282
Tue Apr 21 2020,1765,1794.599976,1727.699951,1737.650024,1602.725708,5122541
Wed Apr 22 2020,1737.650024,1790,1719.150024,1769.5,1632.102539,3829836
Thu Apr 23 2020,1780,1900,1760.849976,1878.25,1732.408447,5934366
Fri Apr 24 2020,1840.699951,1851.949951,1807.800049,1818.550049,1677.343872,2987102
Mon Apr 27 2020,1832.300049,1875,1825,1836.599976,1693.992676,3374741
Tue Apr 28 2020,1865,1868,1832.599976,1859.050049,1714.699585,2678505
Wed Apr 29 2020,1874,1912.550049,1850.050049,1905.650024,1757.68103,4241510
Thu Apr 30 2020,1980,2032,1942.199951,2014.449951,1858.032959,5915544
Mon May 04 2020,1966,1966,1913.650024,1930.449951,1780.555542,3729348
