date,open,high,low,close,adjClose,volume
Wed Jan 01 2020,246.5,248.649994,246.199997,247.699997,242.605316,1413866
Thu Jan 02 2020,246.600006,249.899994,246.350006,248.300003,243.192963,1443966
Fri Jan 03 2020,249.5,252.699997,247.350006,251.100006,245.935394,3381404
Mon Jan 06 2020,251,254.449997,250.149994,252.149994,246.96376,4566695
Tue Jan 07 2020,253.25,256.350006,250.199997,255.199997,249.951035,4402787
Wed Jan 08 2020,254,256.149994,252.550003,254.800003,249.559265,2794410
Thu Jan 09 2020,254.25,256.5,252.649994,253.649994,248.432907,2495023
Fri Jan 10 2020,253.949997,255.199997,251,251.75,246.572006,2056577
Mon Jan 13 2020,254,257.899994,252.850006,254.800003,249.559265,6963599
Tue Jan 14 2020,256.850006,258.350006,254.550003,257.200012,251.909927,7296777
Wed Jan 15 2020,254,256,246.600006,248.25,243.143982,10140451
Thu Jan 16 2020,248,252.600006,247,250.449997,245.298737,8811836
Fri Jan 17 2020,252,253.899994,249.649994,251.100006,245.935394,4140818
Mon Jan 20 2020,250.800003,250.800003,247.199997,248,242.899139,1908583
Tue Jan 21 2020,247.899994,248.199997,246,247.100006,242.017654,1507942
Wed Jan 22 2020,248.600006,251.949997,245.399994,245.850006,240.79335,3400424
Thu Jan 23 2020,246.449997,249.100006,245.350006,248.699997,243.584732,1696544
Fri Jan 24 2020,248.649994,249.449997,246.25,247.600006,243.486389,1710777
Mon Jan 27 2020,247.899994,247.899994,244.75,245.350006,241.273788,1653497
Tue Jan 28 2020,245.899994,246.100006,241.800003,244.050003,239.995377,2136181
Wed Jan 29 2020,244.600006,247.399994,243.25,246.75,242.650513,2004689
Thu Jan 30 2020,247.600006,247.600006,240.199997,240.699997,236.701035,2147465
Fri Jan 31 2020,238,239.149994,235,236.800003,232.865829,5553638
Mon Feb 03 2020,237.699997,240.149994,235.25,237.399994,233.455856,4231830
Tue Feb 04 2020,239,241.25,237.899994,240.25,236.258514,3164756
Wed Feb 05 2020,241.600006,243,237.300003,242.25,238.225281,3875603
Thu Feb 06 2020,242.75,245.949997,241.649994,243.649994,239.602005,3056198
Fri Feb 07 2020,247,247,242.949997,243.949997,239.897049,2759512
Mon Feb 10 2020,245.399994,245.649994,239.449997,240.899994,236.897705,2258996
Tue Feb 11 2020,240.550003,242.899994,239.800003,241.25,237.241898,2730310
Wed Feb 12 2020,241.699997,247.149994,241.699997,244.449997,240.388718,3419400
Thu Feb 13 2020,245.800003,245.800003,242.5,243.75,239.700363,2414955
Fri Feb 14 2020,243.800003,245.350006,242,242.899994,238.864471,1809793
Mon Feb 17 2020,242.899994,245,241.949997,243.800003,239.749542,1017778
Tue Feb 18 2020,243.75,244.850006,241.25,244.050003,239.995377,1252637
Wed Feb 19 2020,244.5,248.350006,244.5,247.600006,243.486389,1785384
Thu Feb 20 2020,248,248.550003,245.100006,245.699997,241.61795,2120807
Mon Feb 24 2020,245,247.800003,242.399994,244.199997,240.142883,3521975
Tue Feb 25 2020,244.149994,246.649994,242.449997,244.100006,240.044556,2529786
Wed Feb 26 2020,243.050003,243.449997,238.399994,239.899994,235.914307,3994194
Thu Feb 27 2020,238.949997,238.949997,230.5,231.600006,227.752228,4866814
Fri Feb 28 2020,228.5,229.5,219.699997,221.449997,217.770844,5637309
Mon Mar 02 2020,225.800003,227,218.399994,220.800003,217.131668,5766175
Tue Mar 03 2020,224,225.800003,220.600006,223.699997,219.98349,5173113
Wed Mar 04 2020,224.899994,229.75,222.449997,228.850006,225.047913,4518178
Thu Mar 05 2020,229.050003,233.899994,228.649994,229.699997,225.883789,2970778
Fri Mar 06 2020,225,226,222.550003,223.550003,219.835953,2934283
Mon Mar 09 2020,220.199997,221,213,214.399994,210.837967,8731114
Wed Mar 11 2020,203.699997,214.399994,203.699997,213.100006,209.559586,6135166
Thu Mar 12 2020,204,206.949997,197.5,199.100006,195.792175,5382005
Fri Mar 13 2020,199,204.449997,169.25,197.399994,194.120392,6521598
Mon Mar 16 2020,193.949997,193.949997,178.550003,179.75,176.763657,5600574
Tue Mar 17 2020,178.550003,185.550003,170.75,173.100006,170.224152,6087687
Wed Mar 18 2020,176.699997,178.5,168.5,169.949997,167.12645,6366599
Thu Mar 19 2020,165,171.350006,159.399994,162.350006,159.65274,5990086
Fri Mar 20 2020,163.100006,185.800003,162.5,179.199997,176.222794,10159745
Mon Mar 23 2020,165,177,165,170.149994,167.323135,5360393
Tue Mar 24 2020,168.5,181.75,168.050003,176.350006,173.420135,6030781
Wed Mar 25 2020,177.399994,188,170.199997,174.649994,171.748367,6728146
Thu Mar 26 2020,176.949997,186.800003,172.5,182.600006,179.566299,5123845
Fri Mar 27 2020,183.149994,189.5,181.5,183.5,180.451355,6767560
Mon Mar 30 2020,181.100006,187.399994,179.350006,184.149994,181.09053,3667402
Tue Mar 31 2020,187,199.800003,185.649994,196.699997,193.432053,5307626
Wed Apr 01 2020,195.699997,195.699997,187,189.5,186.351669,4937834
Fri Apr 03 2020,188,189.600006,177.75,180,177.009506,6573737
Tue Apr 07 2020,188.25,192.699997,183.050003,191.899994,188.711777,4781431
Wed Apr 08 2020,191.5,200,188.800003,192.899994,189.69516,5137654
Thu Apr 09 2020,198.399994,202.949997,195.050003,196.699997,193.432053,3465173
Mon Apr 13 2020,198,198,182.899994,189.199997,186.056656,6192188
Wed Apr 15 2020,190.050003,193.600006,185.800003,186.550003,183.450684,11326003
Thu Apr 16 2020,180,189.75,180,187.850006,184.729095,21690423
Fri Apr 17 2020,192.5,193.75,185.550003,187,183.893204,6606447
Mon Apr 20 2020,189,189,180.149994,181.100006,178.091232,8101513
Tue Apr 21 2020,179,179.899994,173.800003,178.050003,175.091888,9043309
Wed Apr 22 2020,177,179.5,175.050003,178.550003,175.583588,5310949
Thu Apr 23 2020,179.399994,182.600006,177.100006,180.899994,177.894547,5552230
Fri Apr 24 2020,179.949997,180.800003,177.149994,177.75,174.79689,4641139
Mon Apr 27 2020,180,182.899994,175.5,182.050003,179.025452,9141625
Tue Apr 28 2020,182.100006,182.949997,178,179.699997,176.714478,6664917
Wed Apr 29 2020,180.100006,182.449997,179.399994,180.649994,177.648697,5030291
Thu Apr 30 2020,185,192.600006,183.550003,190.949997,187.777573,8833927
Mon May 04 2020,184.5,191.300003,183.050003,190.050003,186.892517,8570370
Tue May 05 2020,191.449997,194,182.199997,184.199997,181.139725,6932389
Wed May 06 2020,185.699997,188,181,187.050003,183.942368,5442790
Thu May 07 2020,184,185.399994,181.199997,184.100006,181.041382,5701069
Fri May 08 2020,185.199997,186,182.550003,184,180.943039,4113672
Mon May 11 2020,185,189.949997,184.100006,184.699997,181.631424,4393833
Tue May 12 2020,184.199997,188,182.600006,187.050003,183.942368,3515409
Wed May 13 2020,191.5,191.5,185.149994,189.699997,186.54834,5280484
Thu May 14 2020,184.75,187.350006,183.100006,186,182.909821,5162197
Fri May 15 2020,186,186,182.649994,183.800003,180.746368,3424515
Mon May 18 2020,182.050003,185,179.600006,182.199997,179.172943,7227243
Tue May 19 2020,182.25,186,178,184.399994,181.33638,5743334
Wed May 20 2020,185,185.899994,182.199997,184.949997,181.877258,7707853
Thu May 21 2020,183.399994,191.699997,183.399994,189.100006,185.958313,7129115
Fri May 22 2020,189.050003,190.850006,186.449997,189,185.859985,4588826
Tue May 26 2020,189,193.199997,185.699997,188.800003,185.6633,5911134
Wed May 27 2020,189.600006,205.5,187.699997,201.25,197.906448,18082968
Thu May 28 2020,203.5,203.5,196.050003,199.350006,196.038025,12347623
Fri May 29 2020,199.350006,214.899994,196.149994,212.800003,209.264557,30630211
Mon Jun 01 2020,215.5,221,213.399994,215.050003,211.477188,13374624
Tue Jun 02 2020,215.100006,218.550003,210.949997,215.850006,212.26387,6406277
Wed Jun 03 2020,216.100006,217.449997,210.550003,211.350006,207.838638,8422101
Thu Jun 04 2020,211.350006,219.949997,210.149994,216.25,212.657242,7397468
Fri Jun 05 2020,220,220.25,215,218.75,215.115707,7245584
Mon Jun 08 2020,219,227.300003,215.850006,226.449997,222.687775,12213696
Tue Jun 09 2020,224.100006,226.300003,217.149994,218.350006,214.722366,7845252
Wed Jun 10 2020,220,221.050003,215.600006,217,213.394791,7393646
Thu Jun 11 2020,217,217.649994,212.350006,212.899994,209.3629,6248745
Fri Jun 12 2020,208,209.5,206.300003,207.899994,204.445953,6209344
Mon Jun 15 2020,211.949997,217.899994,208.149994,213.800003,210.247955,14255725
Tue Jun 16 2020,217.449997,217.899994,209.600006,212.399994,208.871185,7960856
Wed Jun 17 2020,212,218.75,211.050003,217.800003,214.181503,13969454
Thu Jun 18 2020,216.800003,219.300003,214.649994,218.149994,214.525681,6204213
Fri Jun 19 2020,218,224.100006,215,222.050003,218.360886,11223677
Mon Jun 22 2020,221.149994,221.75,216.800003,218.050003,214.427353,6480903
Tue Jun 23 2020,215,222.300003,213,220.600006,216.934982,7425149
Wed Jun 24 2020,224,224,217.550003,218.199997,214.57486,8246086
Thu Jun 25 2020,216.949997,222,215.300003,218.199997,214.57486,5096846
Fri Jun 26 2020,219.300003,230,218.300003,225.449997,221.704407,19194506
Mon Jun 29 2020,222.050003,225.899994,218.699997,219.699997,216.049911,6687074
Tue Jun 30 2020,219.600006,221.949997,218,219.649994,216.000748,5500693
Wed Jul 01 2020,221,222.399994,218.350006,219.050003,215.410736,3952617
Thu Jul 02 2020,221,225.449997,219.550003,224.199997,220.475159,7179941
Fri Jul 03 2020,224.199997,228.5,222.649994,224.800003,221.065186,5419456
Mon Jul 06 2020,225.899994,227.25,221.600006,222.649994,218.950912,7587814
Tue Jul 07 2020,223.199997,228.399994,222,224.899994,221.163528,9117569
Wed Jul 08 2020,226.649994,227.699997,222.5,223.100006,219.393448,7076184
Thu Jul 09 2020,224.25,224.600006,219.649994,221.600006,217.918365,6708998
Fri Jul 10 2020,221,223.449997,219.5,222.100006,218.410065,4548759
Mon Jul 13 2020,223.949997,229,222.550003,227.600006,223.81868,12347310
Tue Jul 14 2020,228.399994,231.699997,224.100006,225,221.261871,13938567
Wed Jul 15 2020,236,268.700012,235,262.75,258.384674,130367588
Thu Jul 16 2020,262.5,268.450012,255.050003,261.899994,257.548798,52277927
Fri Jul 17 2020,258.600006,263.850006,257,261.350006,257.007965,18856512
Mon Jul 20 2020,261.350006,273.549988,259,270.799988,266.300934,21394990
Tue Jul 21 2020,278.5,281.600006,269.399994,271.350006,266.841827,32999050
Wed Jul 22 2020,272.450012,272.850006,263.649994,266,261.580688,12583854
Thu Jul 23 2020,268.299988,268.450012,262.549988,266.600006,262.170776,10368328
Fri Jul 24 2020,267,271.799988,265.549988,270.549988,266.055115,22122123
Mon Jul 27 2020,270.549988,273.200012,267.149994,268.850006,264.383362,13990247
Tue Jul 28 2020,269.299988,276.75,269.299988,275.450012,270.873718,14043807
Wed Jul 29 2020,273.799988,278,272.350006,277,272.397949,10783639
Thu Jul 30 2020,280.100006,286.799988,280.100006,284.100006,279.379974,25847295
Fri Jul 31 2020,289.600006,290.799988,278.600006,280.950012,276.282318,16700660
Mon Aug 03 2020,283,284.799988,279.5,281.549988,276.872375,8908763
Tue Aug 04 2020,281.549988,283.350006,278.25,281.049988,276.380615,8119521
Wed Aug 05 2020,281.25,284.450012,277.399994,278.200012,273.578003,7345453
Thu Aug 06 2020,280.700012,284.25,277.75,279.649994,275.003906,10152605
Fri Aug 07 2020,281.049988,281.850006,276.399994,277.399994,272.79126,7321200
Mon Aug 10 2020,280,281.200012,276.600006,277.399994,272.79126,6310746
Tue Aug 11 2020,279,284.649994,278.299988,279.649994,275.003906,10078908
Wed Aug 12 2020,280.399994,280.700012,274.549988,276.200012,271.611267,8903667
Thu Aug 13 2020,277.899994,281.850006,274.799988,277,272.397949,9653956
Fri Aug 14 2020,278.5,280.75,275.899994,276.5,271.90625,6581711
Mon Aug 17 2020,278.600006,286.399994,277.649994,281.950012,277.265747,14547004
Tue Aug 18 2020,284.75,287.399994,281.700012,282.700012,278.003265,12054207
Wed Aug 19 2020,285.5,285.950012,279.25,279.75,275.102264,9372521
Thu Aug 20 2020,279,279,273.200012,274.200012,269.644501,9891765
Fri Aug 21 2020,278.950012,278.950012,272.700012,273.350006,268.808624,7969636
Mon Aug 24 2020,273.5,274.450012,271.899994,272.700012,268.169403,6154814
Tue Aug 25 2020,274.350006,274.700012,269.350006,269.950012,265.465057,7796138
Wed Aug 26 2020,269.950012,274.700012,268,272.049988,267.530151,9632667
Thu Aug 27 2020,273,275.200012,271.5,272.350006,267.825165,6190168
Fri Aug 28 2020,274.700012,275,271.299988,272.049988,267.530151,7599784
Mon Aug 31 2020,274,282,268,271.299988,266.792633,20570967
Tue Sep 01 2020,271,279.399994,269,271.600006,267.087677,12293053
