date,open,high,low,close,adjClose,volume
Wed Jan 01 2020,1387.957031,1396.277466,1376.527954,1380.276611,1360.64502,7002234
Thu Jan 02 2020,1382.471069,1408.94104,1382.471069,1403.775024,1383.809448,8855158
Fri Jan 03 2020,1401.671997,1409.581055,1392.528687,1405.466553,1385.476807,10492349
Mon Jan 06 2020,1389.785767,1397.008911,1369.67041,1372.870605,1353.34436,12259588
Tue Jan 07 2020,1388.871338,1403.043579,1383.842529,1393.991699,1374.165283,8341811
Wed Jan 08 2020,1385.214111,1402.997803,1380.642456,1383.522583,1363.844971,8023951
Thu Jan 09 2020,1406.792358,1417.215698,1400.072021,1415.387085,1395.256348,7491371
Fri Jan 10 2020,1418.952881,1424.484619,1407.752319,1415.067017,1394.940674,6239179
Mon Jan 13 2020,1412.689819,1425.17041,1406.609497,1411.455444,1391.380493,9141191
Tue Jan 14 2020,1408.072388,1417.215698,1391.477295,1398.380493,1378.491455,7908267
Wed Jan 15 2020,1404.277954,1407.980957,1388.185669,1393.305908,1373.489258,7908929
Thu Jan 16 2020,1398.014771,1411.135376,1397.100342,1406.152222,1386.15271,6423987
Fri Jan 17 2020,1420.415894,1449.171631,1420.141602,1445.560059,1425,14731735
Mon Jan 20 2020,1471.161377,1471.161377,1395.637451,1401.077759,1381.150391,16272925
Tue Jan 21 2020,1397.649048,1413.421265,1391.61438,1402.494995,1382.547607,9461360
Wed Jan 22 2020,1411.729736,1414.244141,1399.934814,1401.992065,1382.051758,5161408
Thu Jan 23 2020,1404.872192,1409.855347,1390.425781,1396.04895,1376.193237,5623869
Fri Jan 24 2020,1396.186035,1404.735107,1388.459961,1391.203003,1371.416138,7314222
Mon Jan 27 2020,1385.122681,1393.854492,1376.070679,1377.487915,1357.896118,6693875
Tue Jan 28 2020,1379.362305,1380.642456,1338.217407,1345.669189,1326.529907,12266118
Wed Jan 29 2020,1347.772095,1366.378784,1338.628784,1353.075317,1333.830811,12373282
Thu Jan 30 2020,1352.298096,1352.93811,1316.63916,1320.067871,1301.292725,11201344
Fri Jan 31 2020,1328.525391,1328.754028,1286.649048,1290.717773,1272.360229,17375155
Mon Feb 03 2020,1252.544434,1280.020142,1246.28125,1266.807983,1248.790527,15356145
Tue Feb 04 2020,1280.065796,1309.781616,1278.054321,1304.204224,1285.654663,12691950
Wed Feb 05 2020,1311.975952,1328.342529,1307.770142,1324.410889,1305.573975,9236050
Thu Feb 06 2020,1329.53125,1341.32605,1316.730591,1332.914185,1313.956299,7769288
Fri Feb 07 2020,1326.696777,1327.931152,1305.941406,1310.83313,1292.189453,6104606
