timestamp,open,high,low,close,adjusted close,volume,dividend amount
2023-12-29,328.9000,335.8500,321.7500,332.0500,330.5191,5383850,0.0000
2023-12-22,339.2000,346.9000,312.6000,326.6000,325.0942,13925949,0.0000
2023-12-15,325.8000,341.3000,322.3500,333.2000,331.6638,9256890,0.0000
2023-12-08,286.0000,335.8000,276.5000,323.4500,321.9588,20334675,0.0000
2023-12-01,258.4500,278.5000,258.4500,275.7500,274.4787,9907129,0.0000
2023-11-24,264.2500,265.4000,256.9500,258.1500,256.9598,2042272,0.0000
2023-11-17,253.0500,265.5000,251.4000,262.5500,261.3395,2494453,0.0000
2023-11-10,247.8500,256.3000,245.6500,251.4000,250.2409,2819142,0.0000
2023-11-03,239.4500,246.4500,234.9500,244.5000,243.3728,1718125,0.0000
2023-10-27,248.0500,248.7000,230.7500,238.1000,237.0023,2994107,0.0000
2023-10-20,254.8000,259.3500,246.6000,247.2500,246.1101,2810259,0.0000
2023-10-13,250.8000,257.3500,249.0000,254.0500,252.8787,3602060,0.0000
2023-10-06,262.8000,266.5000,253.6000,258.7500,257.5571,1880421,0.0000
2023-09-29,257.6500,264.6500,255.0500,262.2000,260.9911,3342347,0.0000
2023-09-22,265.8000,267.0000,254.3500,257.0500,255.8649,2222687,0.0000
2023-09-15,273.2000,275.5000,260.1000,263.8000,262.5838,5829907,0.0000
2023-09-08,256.5500,276.5000,254.7000,268.9000,267.6603,11445608,0.0000
2023-09-01,245.3500,255.9000,243.8000,255.2000,254.0234,4500351,0.0000
2023-08-25,230.0500,252.7500,230.0500,245.3000,244.1691,6607914,0.0000
2023-08-18,235.6000,236.0000,228.1000,230.0000,228.9396,2635108,0.0000
2023-08-11,237.8500,241.6500,230.5500,236.1500,235.0612,5391522,0.0000
2023-08-04,235.5000,245.4000,232.6500,235.6500,234.5636,6647812,0.0000
2023-07-28,217.7000,237.2500,217.0000,234.5500,233.4686,5613982,0.0000
2023-07-21,221.5000,224.7000,216.9500,217.4500,216.4475,3515708,0.0000
2023-07-14,228.7000,228.9500,218.7000,221.1000,220.0806,2517615,0.0000
2023-07-07,222.5000,232.3500,220.0500,227.8500,226.7995,3431545,0.0000
2023-06-30,218.0000,222.4500,216.3500,221.8000,220.7774,2162735,0.0000
2023-06-23,222.2000,226.2500,215.6500,218.2000,217.1940,3081187,0.0000
2023-06-16,222.0000,225.3500,220.2500,222.1500,221.1258,3233171,0.0000
2023-06-09,216.3500,226.1500,214.2500,221.1500,220.1304,3381390,2.0000
2023-06-02,213.0000,218.9500,211.7500,215.6000,212.6253,3812706,0.0000
2023-05-26,205.8000,213.7500,204.2500,212.1000,209.1736,4342020,0.0000
2023-05-19,207.1500,214.9500,201.7500,205.8000,202.9605,2343373,0.0000
2023-05-12,200.2500,207.7000,199.6000,207.0500,204.1933,2751629,0.0000
2023-05-05,201.1500,205.5000,199.3500,200.1000,197.3392,2655596,0.0000
2023-04-28,196.1000,201.5000,194.8500,201.1500,198.3747,1343488,0.0000
2023-04-21,195.5500,198.1500,193.0500,195.7000,192.9999,1734437,0.0000
2023-04-13,195.2000,198.6500,194.2500,196.2000,193.4930,1882212,0.0000
2023-04-06,193.8500,196.0000,192.0500,195.1500,192.4575,1454190,0.0000
2023-03-31,192.8000,194.0000,182.4500,190.2000,187.5758,8051899,0.0000
2023-03-24,202.3000,204.4500,192.2000,192.8000,190.1399,2910348,0.0000
2023-03-17,206.7000,209.1500,198.7500,205.0000,202.1716,4526386,0.0000
2023-03-10,207.8000,212.9500,206.0000,208.8000,205.9191,1416696,0.0000
2023-03-03,202.2500,209.2000,197.5500,207.7000,204.8343,5111396,0.0000
2023-02-24,204.9000,209.7000,200.6500,202.2500,199.4595,4197759,0.0000
2023-02-17,205.0000,206.3000,201.9500,204.7000,201.8757,2932897,0.0000
2023-02-10,209.0500,212.8000,202.9000,204.8000,201.9743,2694086,0.0000
2023-02-03,203.0000,215.4500,196.9500,205.3000,202.4674,6015838,0.0000
2023-01-27,207.5500,208.1500,196.7500,202.4500,199.6568,2679939,0.0000
2023-01-20,207.0500,208.5500,205.0000,207.1500,204.2919,1589266,0.0000
2023-01-13,206.1500,207.8000,203.9000,206.5500,203.7002,3052578,0.0000
2023-01-06,208.7000,213.0500,204.1000,205.4000,202.5661,4227553,0.0000
2022-12-30,195.2000,210.3000,194.4500,207.7000,204.8343,5733224,0.0000
2022-12-23,217.7500,219.4000,196.0000,197.0000,194.2819,4559664,0.0000
2022-12-16,219.4500,224.8000,215.5500,217.3500,214.3512,5163298,0.0000
2022-12-09,225.2000,230.2500,217.5500,219.4500,216.4222,3192875,0.0000
2022-12-02,223.7000,227.1000,222.6000,225.2000,222.0929,3126369,0.0000
2022-11-25,220.0500,224.7500,218.4000,224.1500,221.0574,2232848,0.0000
2022-11-18,229.4000,230.4000,218.7500,220.4000,217.3591,3867759,0.0000
2022-11-11,228.0500,234.5000,227.0000,229.7500,226.5801,3945546,0.0000
2022-11-04,229.6500,231.9000,224.2500,228.2500,225.1008,4440829,0.0000
2022-10-28,218.7000,227.4000,217.6000,225.0000,221.8956,5615606,0.0000
2022-10-21,211.7500,222.1500,211.7500,218.6000,215.5839,3673505,0.0000
2022-10-14,219.5500,222.2500,213.5000,215.9000,212.9212,5748365,0.0000
2022-10-07,216.5000,223.2500,211.9500,222.5500,219.4794,3404346,0.0000
2022-09-30,222.6000,223.4500,210.2000,216.5000,213.5129,7875709,0.0000
2022-09-23,236.0000,238.0000,223.6000,224.6000,221.5011,6875827,0.0000
2022-09-16,243.2000,247.8500,232.7000,236.7000,233.4342,6741921,0.0000
2022-09-09,235.1000,251.0000,235.1000,242.3500,239.0062,9655877,0.0000
2022-09-02,226.0000,240.1500,226.0000,235.0000,231.7577,5246968,0.0000
2022-08-26,232.3000,236.3500,221.5500,235.1000,231.8563,8230914,0.0000
2022-08-19,232.4000,241.8500,231.3500,232.7000,229.4894,8298151,0.0000
2022-08-12,231.6000,235.5000,227.2000,232.4000,229.1935,5797376,0.0000
2022-08-05,221.5000,237.4000,221.5000,232.1000,228.8977,9271409,0.0000
2022-07-29,231.4000,233.5000,215.5000,221.9000,218.8384,8192993,0.0000
2022-07-22,226.7500,234.0000,225.4500,230.8500,227.6649,6716700,0.0000
2022-07-15,219.2500,226.2500,218.2000,225.0500,221.9449,5737493,0.0000
2022-07-08,207.3500,220.8500,207.3500,220.0500,217.0139,5114478,0.0000
2022-07-01,210.3000,211.6000,200.5500,207.0000,204.1440,4648093,0.0000
2022-06-24,211.3000,213.0500,190.0000,207.8500,204.9822,12178807,0.0000
2022-06-17,223.9500,226.4000,207.0000,210.4500,207.5464,7170659,1.7500
2022-06-10,231.0500,236.6500,227.5000,230.2000,225.2217,5880788,0.0000
2022-06-03,227.9500,237.6000,217.5500,231.0500,226.0533,7932178,0.0000
2022-05-27,235.1000,236.0000,210.2500,224.7000,219.8406,9524893,0.0000
2022-05-20,225.7000,243.4000,220.3500,233.2500,228.2057,13455215,0.0000
2022-05-13,235.3500,236.7500,217.0000,222.8500,218.0306,18522819,0.0000
2022-05-06,240.1000,254.0000,238.3500,245.2000,239.8973,11355003,0.0000
2022-04-29,247.5500,255.1500,240.8500,242.3000,237.0600,10768951,0.0000
