"dttm","vale1","vole"
"2025-03-05","61.77","10"
"2025-03-05","61.68","102"
"2025-03-05","61.75","48"
"2025-03-05","61.73","11"
"2025-03-05","61.73","78"
"2025-03-05","61.67","1"
"2025-03-05","61.73","14"
"2025-03-05","61.75","51"
"2025-03-05","61.75","0"
"2025-03-05","61.72","83"
"2025-03-05","61.72","0"
"2025-03-05","61.60","1040"
"2025-03-05","61.71","485"
"2025-03-05","61.71","1"
"2025-03-05","61.71","0"
"2025-03-05","61.71","0"
"2025-03-05","61.71","0"
"2025-03-05","61.71","0"
"2025-03-05","61.74","128"
"2025-03-05","61.76","150"
"2025-03-05","61.70","1"
"2025-03-05","61.72","1"
"2025-03-05","61.72","0"
"2025-03-05","61.77","4"
"2025-03-05","61.76","1"
"2025-03-05","61.83","117"
"2025-03-05","61.81","101"
"2025-03-05","61.81","5"
"2025-03-05","61.81","0"
"2025-03-05","61.83","1"
"2025-03-05","61.83","0"
"2025-03-05","61.90","459"
"2025-03-05","61.90","13"
"2025-03-05","61.91","100"
"2025-03-05","61.91","0"
"2025-03-05","61.94","12"
"2025-03-05","61.87","35"
"2025-03-05","61.95","80"
"2025-03-05","61.86","315"
"2025-03-05","61.86","0"
"2025-03-05","61.93","1"
"2025-03-05","61.92","1"
"2025-03-05","61.95","2"
"2025-03-05","61.91","51"
"2025-03-05","61.96","163"
"2025-03-05","61.98","8"
"2025-03-05","61.99","5"
"2025-03-05","61.99","0"
"2025-03-05","61.99","12"
"2025-03-05","61.98","8"
"2025-03-05","61.93","2"
"2025-03-05","61.93","0"
"2025-03-05","61.90","6"
"2025-03-05","61.90","0"
"2025-03-05","61.90","1"
"2025-03-05","61.90","0"
"2025-03-05","61.90","1"
"2025-03-05","61.91","19"
"2025-03-05","61.91","0"
"2025-03-05","61.92","80"
"2025-03-05","61.94","2"
"2025-03-05","61.94","0"
"2025-03-05","61.94","0"
"2025-03-05","61.94","1"
"2025-03-05","61.94","0"
"2025-03-05","61.94","0"
"2025-03-05","61.96","153"
"2025-03-05","61.95","12"
"2025-03-05","61.98","12"
"2025-03-05","61.98","0"
"2025-03-05","61.94","1"
"2025-03-05","61.94","0"
"2025-03-05","61.99","50"
"2025-03-05","61.99","0"
"2025-03-05","61.99","0"
"2025-03-05","61.97","1"
"2025-03-05","61.97","0"
"2025-03-05","61.97","0"
"2025-03-05","61.96","1"
"2025-03-05","61.98","11"
"2025-03-05","61.91","1"
"2025-03-05","61.91","0"
"2025-03-05","61.95","1"
"2025-03-05","61.95","0"
"2025-03-05","61.95","2"
"2025-03-05","61.97","100"
"2025-03-05","61.99","903"
"2025-03-05","62.07","402"
"2025-03-05","62.07","0"
"2025-03-05","62.07","0"
"2025-03-05","62.07","0"
"2025-03-05","62.07","0"
"2025-03-05","62.00","40"
"2025-03-05","62.01","150"
"2025-03-05","62.01","151"
"2025-03-05","62.01","0"
"2025-03-05","62.01","0"
"2025-03-05","62.01","0"
"2025-03-05","62.01","0"
"2025-03-05","62.01","0"
"2025-03-05","61.95","155"
"2025-03-05","61.95","67"
"2025-03-05","61.91","32"
"2025-03-05","61.95","550"
"2025-03-05","61.95","0"
"2025-03-05","61.95","0"
"2025-03-05","61.95","0"
"2025-03-05","61.95","0"
"2025-03-05","61.95","469"
"2025-03-05","61.95","53"
"2025-03-05","61.95","0"
"2025-03-05","61.91","108"
"2025-03-05","61.92","355"
"2025-03-05","61.92","0"
"2025-03-05","61.92","0"
"2025-03-05","61.97","1936"
"2025-03-05","61.97","3"
"2025-03-05","61.97","0"
"2025-03-05","61.97","0"
"2025-03-05","61.97","0"
"2025-03-05","61.97","3"
"2025-03-05","61.97","0"
"2025-03-05","61.90","497"
"2025-03-05","61.90","0"
"2025-03-05","61.90","0"
"2025-03-05","61.90","0"
"2025-03-05","61.81","1000"
"2025-03-05","61.81","0"
"2025-03-05","61.81","0"
"2025-03-05","61.81","0"
"2025-03-05","61.97","10055"
"2025-03-05","61.97","17"
"2025-03-05","61.99","2"
"2025-03-05","61.99","0"
"2025-03-05","61.99","0"
"2025-03-05","61.99","0"
"2025-03-05","61.99","0"
"2025-03-05","61.93","20"
"2025-03-05","61.93","0"
"2025-03-05","61.93","0"
"2025-03-05","61.94","100"
